signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy,design
tff_tb.q,11,0,0.0,0.0003793103448275,0.0003793103448275,0.3448275862068966,0,11,tff_gl
tff_tb.clk,35,0,0.0,0.001,0.001,0.4857142857142857,0,35,tff_gl
tff_tb.t,4,0,0.0,0.0001333333333333,0.0001333333333333,0.6666666666666666,0,4,tff_gl
tff_tb.dut._0_,11,0,0.0,0.0003666666666666,0.0003666666666666,0.3,0,11,tff_gl
tff_tb.dut.clk,35,0,0.0,0.001,0.001,0.4857142857142857,0,35,tff_gl
tff_tb.dut.qb,11,0,0.0,0.0003793103448275,0.0003793103448275,0.6551724137931034,0,11,tff_gl
tff_tb.dut.t,4,0,0.0,0.0001333333333333,0.0001333333333333,0.6666666666666666,0,4,tff_gl
tff_tb.dut.q,11,0,0.0,0.0003793103448275,0.0003793103448275,0.3448275862068966,0,11,tff_gl
srff_tb2.qb,5,0,0.0,0.0001,0.0001,0.24,0,5,srff_gl2
srff_tb2.q,5,0,0.0,0.0001,0.0001,0.56,0,5,srff_gl2
srff_tb2.clk,26,0,0.0,0.0005,0.0005,0.5,0,26,srff_gl2
srff_tb2.sr[1:0],8,0,0.0,0.0001702127659574,0.0001702127659574,0.2127659574468085,0,8,srff_gl2
srff_tb2.dut._0_,5,0,0.0,0.0001063829787234,0.0001063829787234,0.6595744680851063,0,5,srff_gl2
srff_tb2.dut._1_,5,0,0.0,0.0001063829787234,0.0001063829787234,0.5957446808510638,0,5,srff_gl2
srff_tb2.dut._2_,6,0,0.0,0.0001538461538461,0.0001538461538461,0.5384615384615384,0,6,srff_gl2
srff_tb2.dut.clk,26,0,0.0,0.0005,0.0005,0.5,0,26,srff_gl2
srff_tb2.dut.qb,5,0,0.0,0.0001,0.0001,0.24,0,5,srff_gl2
srff_tb2.dut.sr[1:0],8,0,0.0,0.0001702127659574,0.0001702127659574,0.2127659574468085,0,8,srff_gl2
srff_tb2.dut.q,5,0,0.0,0.0001,0.0001,0.56,0,5,srff_gl2
full_adder_tb2.sum,3,0,0.0,6.976744186046511e-05,6.976744186046511e-05,0.627906976744186,0,3,full_adder_gl2
full_adder_tb2.carry,4,0,0.0,0.0001111111111111,0.0001111111111111,0.7222222222222222,0,4,full_adder_gl2
