signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle,design
mux4x1_tb2.dut.u2.sel,5,0.0001351351351351,2.7027027027027027e-05,1.3513513513513513e-12,0.0001351351351351,0.4324324324324324,mux4x1_rtl2
mux4x1_tb2.dut.u2.out,1,4.545454545454545e-05,4.545454545454545e-05,4.545454545454546e-13,4.545454545454545e-05,1.0,mux4x1_rtl2
mux4x1_tb2.dut.u3.a,5,0.0001351351351351,2.7027027027027027e-05,1.3513513513513513e-12,0.0001351351351351,0.4864864864864865,mux4x1_rtl2
mux4x1_tb2.dut.u3.b,1,4.545454545454545e-05,4.545454545454545e-05,4.545454545454546e-13,4.545454545454545e-05,1.0,mux4x1_rtl2
mux4x1_tb2.dut.u3.sel,3,6.666666666666667e-05,2.2222222222222223e-05,6.666666666666667e-13,6.666666666666667e-05,0.3777777777777777,mux4x1_rtl2
mux4x1_tb2.dut.u3.out,3,0.0001363636363636,4.545454545454545e-05,1.3636363636363638e-12,0.0001363636363636,0.5909090909090909,mux4x1_rtl2
decoder2x4_tb.out[3:0],3,0.0001428571428571,4.761904761904762e-05,1.4285714285714285e-12,0.0001428571428571,0.238095238095238,decoder2x4_rtl
decoder2x4_tb.in[1:0],3,0.0001428571428571,4.761904761904762e-05,1.4285714285714285e-12,0.0001428571428571,0.4761904761904761,decoder2x4_rtl
decoder2x4_tb.dut.in[1:0],3,0.0001428571428571,4.761904761904762e-05,1.4285714285714285e-12,0.0001428571428571,0.4761904761904761,decoder2x4_rtl
decoder2x4_tb.dut.out[3:0],3,0.0001428571428571,4.761904761904762e-05,1.4285714285714285e-12,0.0001428571428571,0.238095238095238,decoder2x4_rtl
half_adder_tb2.SUM,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.1428571428571428,half_adder_rtl2
half_adder_tb2.CARRY,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.5714285714285714,half_adder_rtl2
half_adder_tb2.t_a,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,0.0,half_adder_rtl2
half_adder_tb2.t_b,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.7142857142857143,half_adder_rtl2
half_adder_tb2.dut.a,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,0.0,half_adder_rtl2
half_adder_tb2.dut.b,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.7142857142857143,half_adder_rtl2
half_adder_tb2.dut.carry,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.5714285714285714,half_adder_rtl2
half_adder_tb2.dut.sum,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.1428571428571428,half_adder_rtl2
half_adder_tb3.SUM,5,0.000125,2.5e-05,1.25e-12,0.000125,0.75,half_adder_rtl3
half_adder_tb3.CARRY,4,0.0001142857142857,2.857142857142857e-05,1.142857142857143e-12,0.0001142857142857,0.2857142857142857,half_adder_rtl3
half_adder_tb3.t_a,2,5e-05,2.5e-05,5e-13,5e-05,0.625,half_adder_rtl3
half_adder_tb3.t_b,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.7142857142857143,half_adder_rtl3
half_adder_tb3.dut.a,2,5e-05,2.5e-05,5e-13,5e-05,0.625,half_adder_rtl3
half_adder_tb3.dut.b,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.7142857142857143,half_adder_rtl3
half_adder_tb3.dut.carry,4,0.0001142857142857,2.857142857142857e-05,1.142857142857143e-12,0.0001142857142857,0.2857142857142857,half_adder_rtl3
half_adder_tb3.dut.sum,5,0.000125,2.5e-05,1.25e-12,0.000125,0.75,half_adder_rtl3
mux4x1_tb.out,3,0.00015,5e-05,1.5e-12,0.00015,0.75,mux4x1_rtl
mux4x1_tb.a,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8571428571428571,mux4x1_rtl
mux4x1_tb.b,4,0.0002,5e-05,2e-12,0.0002,0.5,mux4x1_rtl
mux4x1_tb.c,4,0.0001142857142857,2.857142857142857e-05,1.142857142857143e-12,0.0001142857142857,0.4285714285714285,mux4x1_rtl
